Ссылка на авто;Название авто;Год выпуска;Пробег;Кузов;Цвет;Двигатель;Коробка;Привод;Состояние;Цена в российских рублях;Цена в белорусских рублях;Цена в долларах
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116990555-a02c35c1/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2017;63 000 км;внедорожник 5 дв.;чёрный;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,270,000;257,178;100,625
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1114810352-4d4de8b2/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2015;25 000 км;внедорожник 5 дв.;чёрный;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,300,000;258,408;101,107
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115669572-027e4732/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2016;81 000 км;внедорожник 5 дв.;синий;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,380,000;261,689;102,391
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116055720-6c6a4a99/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2016;53 000 км;внедорожник 5 дв.;чёрный;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,430,000;263,740;103,193
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115394241-0524ce3c/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2018;33 000 км;внедорожник 5 дв.;чёрный;3.0 л / 390 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,440,000;264,150;103,354
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116939200-60470d6b/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2016;38 000 км;внедорожник 5 дв.;белый;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,470,000;265,381;103,835
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116956694-04e44d95/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2019;17 000 км;внедорожник 5 дв.;белый;3.0 л / 390 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,480,000;265,791;103,996
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1105422513-b38b5ac7/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2017;62 000 км;внедорожник 5 дв.;чёрный;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,490,000;266,201;104,156
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1096902960-55dde7e1/;Mercedes-Benz GLE Coupe AMG 63 AMG I (C292);2017;51 000 км;внедорожник 5 дв.;белый;5.5 л / 558 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,500,000;266,611;104,317
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116914116-aac7e71f/;Mercedes-Benz GLE Coupe AMG 43 AMG I (C292);2017;167 000 км;внедорожник 5 дв.;белый;3.0 л / 367 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,550,000;268,662;105,119
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1114939007-6aaac37e/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2018;107 000 км;внедорожник 5 дв.;чёрный;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,560,000;269,073;105,280
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1102856798-66ef222d/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2016;41 000 км;внедорожник 5 дв.;чёрный;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,570,000;269,483;105,440
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116602765-cda5d585/;Mercedes-Benz GLE Coupe AMG 63 AMG S I (C292);2016;51 000 км;внедорожник 5 дв.;белый;5.5 л / 585 л.с. / Бензин;автоматическая;полный;Не требует ремонта;6,620,000;271,534;106,242
